0	N0CALL
1000270	AR2OMCI	Reflector2
1000271	29CT067	OMCI2
1000272	29CT067	OMCI1
1000273	29CT067	Ollie
1000275	ZELLOIRL	Zello
1000301	29ICB120	Brian
1000305	29ICB051	Chris
1000306	29IOP076	Les
1000307	29SD029	Michael
1000309	68TC370	Stephen
1000501	29IF29	Keelan
1011003	KIMI	Khim
1011247	FRS1247	Joel
1012363	FRS2363	Gilles
1014394	FRS3936	Camille
1014974	173MR01	Maurice
103770	FRS3770	Francois
1042008	CORSE2B	Relais
1050401	26TD29	Daniella
1106399	KW5X	Hugh
1140001	FRS0001	Dominique
1140002	FRS0002	Jean
1140003	FRS0003	Denis
1140004	FRS0004	Didier
1140005	FRS0005	Guy
1140006	FRS0006	Yann
1140007	FRS0007	Patrick
1140008	FRS0008	Romain
1140009	FRS0009	Andre
1140010	FRS0010	Michel
1140011	FRS0011	Pascal
1140012	FRS0012	Guy
1140013	FRS0013	Daniel
1140014	FRS0014	Bernard
1140015	FRS0015	Yannick
1140016	FRS0016	Patrick
1140017	FRS0017	Nicolas
1140018	FRS0018	Luca
1140019	FRS0019	Laurent
1140020	FRS0020	Pascal
1140021	FRS0021	Erwan
1140022	FRS0022	Samy
1140023	FRS0023	Alain
1140024	FRS0024	Damien
1140025	FRS0025	Guy
1140026	FRS0026	Jerome
1140027	FRS0027	Jean
1140028	FRS0028	Philippe
1140029	FRS0029	Nicolas
1140030	FRS0030	Patrick
1140031	FRS0031	Alain
1140032	FRS0032	Christophe
1140033	FRS0033	Nicolas
1140034	FRS0034	Yves
1140035	FRS0035	Marie
1140036	FRS0036	David
1140037	FRS0037	Eric
1140038	FRS0038	Liliana
1140039	FRS0039	Stephane
1140040	FRS0040	Gerard
1140041	FRS0041	J.Noel
1140042	FRS0042	Guy
1140043	FRS0043	Tony
1140044	FRS0044	Dominique
1140045	FRS0045	Gilles
1140046	FRS0046	David
1140047	FRS0047	Nicolas
1140048	FRS0048	Arnaud
1140049	FRS0049	Pierre
1140050	FRS0050	Remi
1140051	FRS0051	J.Paul
1140052	FRS0052	Eric
1140053	FRS0053	Julien
1140054	FRS0054	Madmick
1140055	FRS0055	William
1140056	FRS0056	Jerome
1140057	FRS0057	Jacky
1140058	FRS0058	Bruno
1140059	FRS0059	Martial
1140060	FRS0060	Christophe
1140061	FRS0061	Franck
1140062	FRS0062	Clement
1140063	FRS0063	Guillaume
1140064	FRS0064	Arnaud
1140065	FRS0065	Frederic
1140066	FRS0066	Alexandre
1140067	FRS0067	Samuel
1140068	FRS0068	Pascal
1140069	FRS0069	Jean
1140070	FRS0070	Christophe
1140071	FRS0071	Mickael
1140072	FRS0072	Gerard
1140073	FRS0073	Christophe
1140074	FRS0074	Davy
1140075	FRS0075	Alexandre
1140076	FRS0076	Sam
1140077	FRS0077	Romuald
1140078	FRS0078	Alain
1140079	FRS0079	Pierre
1140080	FRS0080	Anthony
1140081	FRS0081	Sylvain
1140082	FRS0082	Jeremy
1140083	FRS0083	Franck
1140084	FRS0084	Stephane
1140085	FRS0085	Jack
1140086	FRS0086	Arnaud
1140087	FRS0087	Jeremy
1140088	FRS0088	Franck
1140089	FRS0089	Daniel
1140090	FRS0090	Jean
1140091	FRS0091	Dominique
1140092	FRS0092	Didier
1140093	FRS0093	Pascal
1140094	FRS0094	Gael
1140095	FRS0095	Paolo
1140096	FRS0096	Jacques
1140097	FRS0097	Roger
1140098	FRS0098	Freddy
1140099	FRS0099	Benjamin
1140100	FRS0100	Laurent
1140101	FRS0101	Stephane
1140102	FRS0102	Adrien
1140103	FRS0103	J.Francois
1140104	FRS0104	Bruno
1140105	FRS0105	Gregory
1140106	FRS0106	Jimmy
1140107	FRS0107	Georges
1140108	FRS0108	Daniel
1140109	FRS0109	Denis
1140110	FRS0110	Emmanuel
1140111	FRS0111	Carlos
1140112	FRS0112	Dominique
1140113	FRS0113	Christophe
1140114	FRS0114	Julien
1140115	FRS0115	Jerome
1140116	FRS0116	Damien
1140117	FRS0117	J.Daniel
1140118	FRS0118	Olivier
1140119	FRS0119	Jacky
1140120	FRS0120	Christophe
1140121	FRS0121	David
1140122	FRS0122	Alain
1140123	FRS0123	J.Francois
1140124	FRS0124	Samuel
1140125	FRS0125	Fred
1140126	FRS0126	Stephane
1140127	FRS0127	Lionel
1140128	FRS0128	Vincent
1140129	FRS0129	Daniel
1140130	FRS0130	Christopher
1140131	FRS0131	Gerard
1140132	FRS0132	David
1140133	FRS0133	Philippe
1140134	FRS0134	Benjamin
1140135	FRS0135	Serge
1140136	FRS0136	Bernard
1140137	FRS0137	Leonel
1140138	FRS0138	Robert
1140139	FRS0139	A.Cecile
1140140	FRS0140	Jo
1140141	FRS0141	Bernard
1140142	FRS0142	Laurent
1140143	FRS0143	Mathieu
1140144	FRS0144	Andre
1140145	FRS0145	Dominique
1140146	FRS0146	Alberto
1140147	FRS0147	Christophe
1140148	FRS0148	Arnaud
1140149	FRS0149	Denis
1140150	FRS0150	Julien
1140151	FRS0151	Jean
1140152	FRS0152	Patrick
1140153	FRS0153	Bruno
1140154	FRS0154	Serge
1140155	FRS0155	Andre
1140156	FRS0156	Eric
1140157	FRS0157	Alexandre
1140158	FRS0158	Didier
1140159	FRS0159	Lionel
1140160	FRS0160	Jose	Luis
1140161	FRS0161	Antoine
1140162	FRS0162	J.Paul
