#	DMR_Hosts.txt
#
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#	Origional idea from Adrian Craig (M0GLJ)
#
#	Updated 24-10-2023 FreeDMR Digital Network
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. NO SPACES!!
#
#	Downloaded from https://raw.githubusercontent.com/FreeDMR-Digital-Network/MW0MWZ-HostFiles/main/DMR_Hosts.txt
#
######################################################################################################
#
#				DMRGateway / Internal Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMRGateway			0000	127.0.0.1				none		62031
DMR2YSF				0000	127.0.0.2				none		62033
DMR2NXDN			0000	127.0.0.3				none		62035
######################################################################################################
#
#				BrandMeister Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################

######################################################################################################
#
# FreeDMR Network Germany, France, Ireland, HUngary - UK  DE/F/IE/UK/HU Hosts Below for licenced free
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
FreeDMR_Bayern			0000	dmr446.ddnss.de				passw0rd	62031
FreeDMR_Sachsen                 0000    freedmr.multhielemedia.de               passw0rd        62031
FreeDMR_Berlin                  0000    fdmr.dynbox.net                         passw0rd        62031
FreeDMR_NRW                     0000    dmr446-nrw.de                           passw0rd        62031
FreeDMR_ERSATZ                  0000    217.160.76.184                          passw0rd        62031
FreeDMR_Ireland			0000	unmsomci.myvnc.com			passw0rd	62031
FreeDMR_Hungary			0000	freedmr.hu					passw0rd	62031
FreeDMR_France			0000	serveur-f62dmr.fr			passw0rd	55555
######################################################################################################
#	Custom DMR_Hosts.txt
#
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. TAB delimited only NO SPACES!!
#
#	Please ensure BrandMeister Masters are prefixed with BM_
#	Please ensure Phoenix / DMR+ Masters are prefixed with DMR+_
#
#	Passwords / Ports ARE important too!
#
##############################################################################################
#
#				Custom DMR Hosts
#
##############################################################################################
# Name				DMR-ID	IP/Hostname			Password	Port #
##############################################################################################
BM_FREEDMR_HU			2161	freedmr.hu				a kodod	62031
#DMR+_Custom_01			1234	1.2.3.4				PASSWORD	55555
##############################################################################################
